Seria pomiarowa: 0
Godzina poczatkowa: 6:00, Godzina koncowa: 20:00
Dzielnik, Panel, Temperatura, Czas [s]
480,2.94,8.96,29.00
481,2.86,8.72,28.94
482,2.76,8.41,28.94
483,2.01,6.13,28.94
484,3.25,9.91,28.94
485,2.24,6.83,28.94
486,3.78,11.52,28.87
487,2.94,8.96,28.87
488,2.84,8.66,28.87
489,3.37,10.29,28.87
490,1.70,5.17,28.81
491,2.39,7.27,28.81
492,4.13,12.61,28.81
493,4.51,13.76,28.75
494,4.36,13.30,28.75
495,3.34,10.18,28.75
496,2.68,8.18,28.75
497,2.91,8.87,28.69
498,3.33,10.17,28.69
499,3.74,11.42,28.69
500,3.97,12.12,28.69
501,3.38,10.32,28.69
502,3.70,11.28,28.62
503,2.96,9.02,28.62
504,3.53,10.76,28.62
505,3.97,12.10,28.62
506,3.42,10.43,28.62
507,2.35,7.17,28.56
508,2.00,6.11,28.56
509,2.84,8.66,28.56
510,3.56,10.85,28.56
511,1.40,4.26,28.50
512,4.76,14.52,28.50
513,4.56,13.89,28.50
514,3.99,12.16,28.50
515,2.52,7.69,28.44
516,2.06,6.29,28.44
517,3.42,10.43,28.44
518,2.06,6.28,28.44
519,3.25,9.91,28.37
520,4.26,13.00,28.37
521,2.36,7.19,28.37
522,4.68,14.27,28.37
523,2.48,7.56,28.31
524,3.59,10.96,28.31
525,2.08,6.35,28.31
526,2.89,8.81,28.31
527,2.23,6.81,28.31
528,3.00,9.15,28.31
529,1.85,5.65,28.25
530,1.94,5.90,28.25
531,3.59,10.96,28.25
532,4.17,12.73,28.25
533,4.13,12.60,28.19
534,2.62,8.01,28.19
535,4.73,14.43,28.19
536,2.12,6.47,28.19
537,1.09,3.31,28.19
538,3.58,10.91,28.12
539,1.50,4.56,28.12
540,3.78,11.52,28.12
541,3.89,11.87,28.12
542,2.93,8.94,28.06
543,2.64,8.05,28.06
544,4.65,14.19,28.06
545,1.60,4.87,28.06
546,2.96,9.02,28.06
547,2.96,9.03,28.06
548,2.91,8.87,28.06
549,4.66,14.21,28.00
550,2.80,8.54,28.00
